timestamp_0,timestamp_1,timestamp_2,timestamp_3,co,humidity,smoke,temp
15945233749,15945233793,15945233774,15945233743,0.004833237960391,52.1,0.020019663516957425,22.5
15945233816,15945233818,15945233805,15945233788,0.004852421530358751,52.1,0.020081036701551203,22.5
15945233855,15945233835,15945233851,15945233816,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945233865,15945233860,15945233865,15945233871,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233931,15945233916,15945233897,15945233910,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945233961,15945233985,15945233939,15945233947,0.0048593548295662896,52.1,0.02010320453818624,22.5
15945233967,15945233993,15945233973,15945233993,0.004866225112667964,52.1,0.020125163803853124,22.5
15945233992,15945234022,15945234029,15945234030,0.0048469245699355725,52.1,0.02006345615433765,22.5
15945234040,15945234029,15945234056,15945234079,0.0048183070988337936,52.1,0.019971857525600583,22.5
15945234108,15945234078,15945234104,15945234083,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945234165,15945234127,15945234136,15945234155,0.004849677092524513,52.1,0.020072259922506896,22.5
15945234166,15945234170,15945234166,15945234187,0.004840085547105209,52.1,0.020041577054495552,22.5
15945234212,15945234181,15945234204,15945234192,0.004840085547105209,52.1,0.020041577054495552,22.5
15945234244,15945234228,15945234219,15945234245,0.004823747232481985,52.1,0.01998927976967916,22.5
15945234277,15945234237,15945234287,15945234264,0.0048483500389767285,52.1,0.02006801556807659,22.5
15945234304,15945234300,15945234312,15945234334,0.004846978918818638,52.1,0.020063629996772667,22.5
15945234369,15945234351,15945234328,15945234390,0.004826421094060703,52.1,0.01999784128059024,22.5
15945234392,15945234385,15945234362,15945234401,0.0048690151305133145,52.1,0.020134079436384275,22.5
15945234450,15945234462,15945234403,15945234476,0.004858019962041328,52.1,0.020098937125486303,22.5
15945234474,15945234495,15945234455,15945234488,0.004841508708001674,52.1,0.02004613054660426,22.5
15945234505,15945234513,15945234511,15945234508,0.004826421094060703,52.1,0.01999784128059024,22.5
15945234607,15945234542,15945234543,15945234522,0.004838697447060515,52.1,0.020037135448620128,22.5
15945234616,15945234592,15945234572,15945234573,0.004846978918818638,52.1,0.020063629996772667,22.5
15945234617,15945234628,15945234603,15945234612,0.004846978918818638,52.0,0.020063629996772667,22.5
15945234661,15945234646,15945234659,15945234657,0.004840085547105209,52.0,0.020041577054495552,22.5
15945234663,15945234684,15945234738,15945234689,0.004852456223994553,52.1,0.02008114764542138,22.5
15945234705,15945234741,15945234739,15945234758,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945234765,15945234751,15945234790,15945234768,0.00484555391240784,52.1,0.020059071769776702,22.5
15945234818,15945234782,15945234810,15945234784,0.004845627937699652,52.1,0.020059308565043385,22.5
15945234822,15945234834,15945234830,15945234825,0.0048607102039201645,52.1,0.020107537236194274,22.5
15945234877,15945234840,15945234890,15945234891,0.004838736770783114,52.1,0.02003726127961487,22.5
15945234914,15945234885,15945234896,15945234902,0.0048648481895219465,52.1,0.02012076335340441,22.5
15945234932,15945234927,15945234938,15945234906,0.004859394667370261,52.1,0.020103331890812447,22.5
15945234992,15945234980,15945235010,15945235021,0.0048483500389767285,52.1,0.02006801556807659,22.5
15945235023,15945235022,15945235038,15945235031,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945235034,15945235046,15945235059,15945235049,0.004844203387105208,52.1,0.020054751507385688,22.5
15945235075,15945235078,15945235116,15945235082,0.004851083771078045,52.1,0.020076758655758368,22.5
15945235133,15945235142,15945235134,15945235148,0.004845573606201511,52.1,0.0200591347672057,22.5
15945235147,15945235165,15945235174,15945235170,0.004844203387105208,52.0,0.020054751507385688,22.5
15945235170,15945235184,15945235190,15945235216,0.004846998619259306,52.0,0.02006369301125315,22.4
15945235278,15945235250,15945235247,15945235263,0.004841508708001674,52.1,0.02004613054660426,22.5
15945235284,15945235294,15945235300,15945235282,0.004877316494064573,52.0,0.02016059996870891,22.5
15945235288,15945235322,15945235309,15945235300,0.004835961915225252,52.0,0.020028381518275167,22.5
15945235350,15945235341,15945235324,15945235378,0.0048593548295662896,51.9,0.02010320453818624,22.5
15945235389,15945235387,15945235402,15945235397,0.004856551418289571,51.8,0.020094242057912992,22.4
15945235427,15945235465,15945235419,15945235450,0.0048510490887035814,51.7,0.02007664774076937,22.5
15945235479,15945235473,15945235440,15945235474,0.004852475949987029,51.7,0.020081210725439023,22.5
15945235514,15945235483,15945235479,15945235516,0.004845573606201511,51.6,0.0200591347672057,22.5
15945235535,15945235531,15945235553,15945235531,0.004849677092524513,51.5,0.020072259922506896,22.4
15945235585,15945235588,15945235579,15945235562,0.004852421530358751,51.4,0.020081036701551203,22.4
