ts,co,humidity,smoke,temp
15945231589,0.004845573606201511,52.1,0.0200591347672057,22.5
15945231626,0.004852421530358751,52.1,0.020081036701551203,22.5
15945231663,0.004841508708001674,52.1,0.02004613054660426,22.5
15945231699,0.004826455231074852,52.1,0.019997950577864288,22.5
15945231736,0.004846978918818638,52.1,0.020063629996772667,22.5
15945231773,0.0048319255551848295,52.1,0.02001546277327291,22.5
15945231810,0.0048607102039201645,52.1,0.020107537236194274,22.5
15945231847,0.004837329459220464,52.1,0.02003275791391338,22.5
15945231884,0.004823747232481985,52.1,0.01998927976967916,22.5
15945231921,0.004823747232481985,52.1,0.01998927976967916,22.5
15945231958,0.004833257596748446,52.1,0.020019726366998402,22.5
15945231994,0.004818287532169546,52.1,0.019971794854515168,22.5
15945232031,0.004840139807987445,52.1,0.02004175067115393,22.5
15945232068,0.0048347516286492715,52.1,0.02002450814106722,22.5
15945232105,0.004825091214572853,52.1,0.019993583237672124,22.5
15945232142,0.004848350038976729,52.1,0.02006801556807659,22.5
15945232179,0.0047898977790970035,52.1,0.019880802767008317,22.5
15945232216,0.0048346046203651075,52.1,0.020024037643655297,22.5
15945232252,0.004826421094060703,52.1,0.01999784128059024,22.5
15945232289,0.004806109284151643,52.1,0.01993277727840433,22.5
15945232326,0.0048277855420396105,52.1,0.02000220972867772,22.5
15945232363,0.004823727640461725,52.1,0.019989217033470938,22.5
15945232400,0.00480881096129301,52.1,0.019941435050001597,22.5
15945232436,0.00481968817306868,52.1,0.019976280893909036,22.5
15945232472,0.004838697447060515,52.1,0.020037135448620128,22.5
15945232509,0.004841434754925555,52.1,0.020045893936615555,22.5
15945232546,0.004834668304062572,52.1,0.02002424146260123,22.5
15945232583,0.00482644069863657,52.1,0.019997904049039325,22.5
15945232620,0.004816926164417807,52.1,0.019967434316992067,22.5
15945232657,0.004804747131898307,52.1,0.01992841171746742,22.5
15945232694,0.004812854463887473,52.1,0.019954390759007817,22.5
15945232730,0.004848305541658369,52.1,0.020067873246418597,22.5
15945232767,0.004833257596748446,52.1,0.020019726366998402,22.5
15945232804,0.004785856997723711,52.1,0.019867841695362445,22.5
15945232841,0.004837329459220464,52.0,0.02003275791391338,22.5
15945232878,0.004818287532169546,52.1,0.019971794854515168,22.5
15945232915,0.004838717108875968,52.0,0.020037198363999843,22.5
15945232952,0.004823747232481985,52.1,0.01998927976967916,22.5
15945232988,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233025,0.004831999341583486,52.1,0.020015698955493832,22.5
15945233062,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233099,0.004818287532169546,52.1,0.019971794854515168,22.5
15945233135,0.004841434754925555,52.1,0.020045893936615555,22.5
15945233172,0.004840085547105209,52.1,0.020041577054495552,22.5
15945233209,0.004837329459220464,52.1,0.02003275791391338,22.5
15945233246,0.004852421530358751,52.1,0.020081036701551203,22.5
15945233283,0.004848350038976729,52.1,0.02006801556807659,22.5
15945233320,0.004840065878907989,52.1,0.02004151412273946,22.5
15945233357,0.004840174056384436,52.1,0.020041860254331363,22.5
15945233393,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233430,0.004833257596748446,52.1,0.020019726366998402,22.5
15945233467,0.00484418369970268,52.1,0.0200546885263529,22.5
15945233504,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233541,0.004840085547105209,52.1,0.020041577054495552,22.5
15945233578,0.004831891373762839,52.1,0.02001535336198839,22.5
15945233615,0.0048593548295662896,52.1,0.020103204538186238,22.5
15945233651,0.004841434754925555,52.1,0.020045893936615555,22.5
15945233688,0.004845573606201511,52.1,0.0200591347672057,22.5
15945233725,0.00484418369970268,52.1,0.0200546885263529,22.5
15945233762,0.004833237960391,52.1,0.020019663516957425,22.5
15945233799,0.004852421530358751,52.1,0.020081036701551203,22.5
15945233835,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945233872,0.00484555391240784,52.1,0.020059071769776702,22.5
15945233909,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945233946,0.0048593548295662896,52.1,0.020103204538186238,22.5
15945233983,0.004866225112667964,52.1,0.020125163803853124,22.5
15945234020,0.0048469245699355725,52.1,0.02006345615433765,22.5
15945234056,0.0048183070988337936,52.1,0.019971857525600583,22.5
15945234093,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945234130,0.004849677092524513,52.1,0.020072259922506896,22.5
15945234167,0.004840085547105209,52.1,0.020041577054495552,22.5
15945234204,0.004840085547105209,52.1,0.020041577054495552,22.5
15945234241,0.004823747232481985,52.1,0.01998927976967916,22.5
15945234278,0.004848350038976729,52.1,0.02006801556807659,22.5
15945234314,0.004846978918818638,52.1,0.020063629996772667,22.5
15945234351,0.004826421094060703,52.1,0.01999784128059024,22.5
15945234388,0.004869015130513315,52.1,0.020134079436384275,22.5
15945234425,0.004858019962041328,52.1,0.020098937125486303,22.5
15945234462,0.004841508708001674,52.1,0.02004613054660426,22.5
15945234498,0.004826421094060703,52.1,0.01999784128059024,22.5
15945234535,0.004838697447060515,52.1,0.020037135448620128,22.5
15945234572,0.004846978918818638,52.1,0.020063629996772667,22.5
15945234609,0.004846978918818638,52.0,0.020063629996772667,22.5
15945234646,0.004840085547105209,52.0,0.020041577054495552,22.5
15945234682,0.004852456223994553,52.1,0.02008114764542138,22.5
15945234719,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945234756,0.00484555391240784,52.1,0.020059071769776702,22.5
15945234793,0.004845627937699652,52.1,0.020059308565043385,22.5
15945234830,0.0048607102039201645,52.1,0.020107537236194274,22.5
15945234867,0.004838736770783114,52.1,0.02003726127961487,22.5
15945234903,0.004864848189521946,52.1,0.02012076335340441,22.5
15945234940,0.004859394667370261,52.1,0.020103331890812447,22.5
15945234977,0.004848350038976729,52.1,0.02006801556807659,22.5
15945235014,0.0048510490887035814,52.1,0.02007664774076937,22.5
15945235051,0.004844203387105208,52.1,0.020054751507385688,22.5
15945235088,0.004851083771078045,52.1,0.02007675865575837,22.5
15945235124,0.004845573606201511,52.1,0.0200591347672057,22.5
15945235161,0.004844203387105208,52.0,0.020054751507385688,22.5
15945235198,0.004846998619259306,52.0,0.02006369301125315,22.4
15945235235,0.004841508708001674,52.1,0.02004613054660426,22.5
15945235272,0.004877316494064573,52.0,0.02016059996870891,22.5
15945235309,0.004835961915225252,52.0,0.02002838151827517,22.5
15945235346,0.0048593548295662896,51.9,0.020103204538186238,22.5
15945235382,0.004856551418289571,51.8,0.020094242057912992,22.4
15945235419,0.0048510490887035814,51.7,0.02007664774076937,22.5
15945235456,0.004852475949987029,51.7,0.020081210725439023,22.5
15945235493,0.004845573606201511,51.6,0.0200591347672057,22.5
15945235530,0.004849677092524513,51.5,0.020072259922506896,22.4
15945235567,0.004852421530358751,51.4,0.020081036701551203,22.4
15945235604,0.004838717108875968,51.2,0.020037198363999843,22.4
15945235640,0.004852421530358751,51.1,0.020081036701551203,22.4
15945235677,0.004864907863018936,51.0,0.020120954067277142,22.4
15945235714,0.0048800737788083255,51.0,0.020169406451243044,22.4
15945235751,0.004845573606201511,50.9,0.0200591347672057,22.4
15945235788,0.004825149695018104,50.8,0.01999377048749705,22.4
15945235825,0.004837368770184185,50.7,0.020032883712165227,22.4
15945235862,0.004852421530358751,50.7,0.020081036701551203,22.4
15945235898,0.004853829122554538,50.7,0.020085537777957633,22.4
15945235935,0.004859335071477756,50.6,0.02010314137587005,22.4
15945235972,0.0048676570981627965,50.7,0.020129739925559897,22.4
15945236009,0.004851068808131312,50.6,0.020076710803950924,22.3
15945236046,0.004852421530358751,50.5,0.020081036701551203,22.3
15945236083,0.0048621403270228975,50.6,0.02011210858432996,22.3
15945236120,0.004831891373762839,50.6,0.02001535336198839,22.3
